mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,rhoA = 0.100000,rhoB = 0.900000,data are below
sigma,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
0.100000,0.500000,1.012500,1.012500,0.500000,0.539130,0.539130,0.539130,0.539130,18.158995,18.158995,12.161120,12.161120,12.161120,12.161120,18.158995,18.158995,0.533508,0.566694,0.566694,0.533508,18.067377,18.594177,12.078060,12.559762,12.559762,12.078060,18.594177,18.067377,
0.100000,0.500000,1.025000,1.025000,0.500000,0.539576,0.539576,0.539576,0.539576,18.166215,18.166215,12.070466,12.070466,12.070466,12.070466,18.166215,18.166215,0.533914,0.567658,0.567658,0.533914,18.074028,18.608978,11.987185,12.474757,12.474757,11.987185,18.608978,18.074028,
0.100000,0.500000,1.037500,1.037500,0.500000,0.540017,0.540017,0.540017,0.540017,18.173350,18.173350,11.981229,11.981229,11.981229,11.981229,18.173350,18.173350,0.534309,0.568600,0.568600,0.534309,18.080490,18.623436,11.897637,12.390888,12.390888,11.897637,18.623436,18.080490,
0.100000,0.500000,1.050000,1.050000,0.500000,0.540445,0.540445,0.540445,0.540445,18.180267,18.180267,11.893253,11.893253,11.893253,11.893253,18.180267,18.180267,0.534693,0.569513,0.569513,0.534693,18.086771,18.637407,11.809388,12.307988,12.307988,11.809388,18.637407,18.086771,
0.100000,0.500000,1.062500,1.062500,0.500000,0.540859,0.540859,0.540859,0.540859,18.186971,18.186971,11.806511,11.806511,11.806511,11.806511,18.186971,18.186971,0.535067,0.570415,0.570415,0.535067,18.092876,18.651202,11.722410,12.226311,12.226311,11.722410,18.651202,18.092876,
0.100000,0.500000,1.075000,1.075000,0.500000,0.541262,0.541262,0.541262,0.541262,18.193471,18.193471,11.720977,11.720977,11.720977,11.720977,18.193471,18.193471,0.535430,0.571298,0.571298,0.535430,18.098810,18.664678,11.636675,12.145695,12.145695,11.636675,18.664678,18.098810,
0.100000,0.500000,1.087500,1.087500,0.500000,0.541653,0.541653,0.541653,0.541653,18.199772,18.199772,11.636626,11.636626,11.636626,11.636626,18.199772,18.199772,0.535784,0.572162,0.572162,0.535784,18.104579,18.677842,11.552157,12.066116,12.066116,11.552157,18.677842,18.104579,
0.100000,0.500000,1.100000,1.100000,0.500000,0.542031,0.542031,0.542031,0.542031,18.205882,18.205882,11.553434,11.553434,11.553434,11.553434,18.205882,18.205882,0.536128,0.573008,0.573008,0.536128,18.110189,18.690705,11.468829,11.987554,11.987554,11.468829,18.690705,18.110189,
0.100000,0.500000,1.112500,1.112500,0.500000,0.542399,0.542399,0.542399,0.542399,18.211807,18.211807,11.471377,11.471377,11.471377,11.471377,18.211807,18.211807,0.536462,0.573825,0.573825,0.536462,18.115645,18.703123,11.386667,11.909854,11.909854,11.386667,18.703123,18.115645,
0.100000,0.500000,1.125000,1.125000,0.500000,0.542756,0.542756,0.542756,0.542756,18.217552,18.217552,11.390433,11.390433,11.390433,11.390433,18.217552,18.217552,0.536788,0.574635,0.574635,0.536788,18.120951,18.715404,11.305646,11.833264,11.833264,11.305646,18.715404,18.120951,
0.100000,0.500000,1.137500,1.137500,0.500000,0.543102,0.543102,0.543102,0.543102,18.223123,18.223123,11.310577,11.310577,11.310577,11.310577,18.223123,18.223123,0.537105,0.575428,0.575428,0.537105,18.126111,18.727404,11.225741,11.757629,11.757629,11.225741,18.727404,18.126111,
0.100000,0.500000,1.150000,1.150000,0.500000,0.543438,0.543438,0.543438,0.543438,18.228524,18.228524,11.231788,11.231788,11.231788,11.231788,18.228524,18.228524,0.537414,0.576193,0.576193,0.537414,18.131130,18.738981,11.146931,11.682797,11.682797,11.146931,18.738981,18.131130,
0.100000,0.500000,1.162500,1.162500,0.500000,0.543764,0.543764,0.543764,0.543764,18.233763,18.233763,11.154046,11.154046,11.154046,11.154046,18.233763,18.233763,0.537714,0.576952,0.576952,0.537714,18.136013,18.750441,11.069193,11.609016,11.609016,11.069193,18.750441,18.136013,
0.100000,0.500000,1.175000,1.175000,0.500000,0.544081,0.544081,0.544081,0.544081,18.238843,18.238843,11.077330,11.077330,11.077330,11.077330,18.238843,18.238843,0.538007,0.577685,0.577685,0.538007,18.140763,18.761491,10.992504,11.536002,11.536002,10.992504,18.761491,18.140763,
0.100000,0.500000,1.187500,1.187500,0.500000,0.544388,0.544388,0.544388,0.544388,18.243769,18.243769,11.001618,11.001618,11.001618,11.001618,18.243769,18.243769,0.538291,0.578412,0.578412,0.538291,18.145384,18.772436,10.916844,11.464003,11.464003,10.916844,18.772436,18.145384,
