mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,sigma =0.250000,data are below
drho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
0.010000,1.125000,1.125000,0.625000,0.625000,0.646135,0.646135,0.646135,0.646135,12.768490,12.768490,17.790967,17.790967,12.768490,12.768490,17.790967,17.790967,0.646131,0.646129,0.646131,0.646129,12.768441,12.768424,17.790914,17.790896,12.768441,12.768424,17.790914,17.790896,
0.010000,1.125000,1.125000,0.750000,0.750000,0.677526,0.677526,0.677526,0.677526,13.155660,13.155660,16.611548,16.611548,13.155660,13.155660,16.611548,16.611548,0.677522,0.677521,0.677522,0.677521,13.155610,13.155599,16.611496,16.611484,13.155610,13.155599,16.611496,16.611484,
0.010000,1.125000,1.125000,0.875000,0.875000,0.705041,0.705041,0.705041,0.705041,13.484085,13.484085,15.617587,15.617587,13.484085,13.484085,15.617587,15.617587,0.705036,0.705036,0.705036,0.705036,13.484034,13.484028,15.617535,15.617528,13.484034,13.484028,15.617535,15.617528,
0.010000,1.125000,1.125000,1.000000,1.000000,0.729511,0.729511,0.729511,0.729511,13.767992,13.767992,14.763071,14.763071,13.767992,13.767992,14.763071,14.763071,0.729507,0.729507,0.729507,0.729507,13.767943,13.767940,14.763020,14.763017,13.767943,13.767940,14.763020,14.763017,
0.010000,1.125000,1.125000,1.125000,1.125000,0.751408,0.751408,0.751408,0.751408,14.015752,14.015752,14.015752,14.015752,14.015752,14.015752,14.015752,14.015752,0.751403,0.751403,0.751403,0.751403,14.015701,14.015701,14.015701,14.015701,14.015701,14.015701,14.015701,14.015701,
0.010000,1.125000,1.125000,1.250000,1.250000,0.771362,0.771362,0.771362,0.771362,14.236555,14.236555,13.356174,13.356174,14.236555,14.236555,13.356174,13.356174,0.771357,0.771357,0.771357,0.771357,14.236504,14.236506,13.356124,13.356126,14.236504,14.236506,13.356124,13.356126,
0.010000,1.125000,1.125000,1.375000,1.375000,0.789248,0.789248,0.789248,0.789248,14.430568,14.430568,12.763642,12.763642,14.430568,14.430568,12.763642,12.763642,0.789244,0.789244,0.789244,0.789244,14.430517,14.430521,12.763593,12.763597,14.430517,14.430521,12.763593,12.763597,
0.010000,1.125000,1.125000,1.500000,1.500000,0.805589,0.805589,0.805589,0.805589,14.604671,14.604671,12.229247,12.229247,14.604671,14.604671,12.229247,12.229247,0.805584,0.805585,0.805584,0.805585,14.604619,14.604625,12.229198,12.229204,14.604619,14.604625,12.229198,12.229204,
0.010000,1.250000,1.250000,0.500000,0.500000,0.624590,0.624590,0.624590,0.624590,11.661560,11.661560,19.438769,19.438769,11.661560,11.661560,19.438769,19.438769,0.624586,0.624584,0.624586,0.624584,11.661517,11.661490,19.438722,19.438692,11.661517,11.661490,19.438722,19.438692,
0.010000,1.250000,1.250000,0.625000,0.625000,0.662057,0.662057,0.662057,0.662057,12.118885,12.118885,18.003863,18.003863,12.118885,12.118885,18.003863,18.003863,0.662053,0.662052,0.662053,0.662052,12.118839,12.118820,18.003813,18.003792,12.118839,12.118820,18.003813,18.003792,
