mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.250000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,
1.000000,0.700000,0.700000,1.000000,0.700000,1.000000,1.000000,0.700000,0.500000,0.500000,0.875000,0.875000,0.574725,0.574725,0.574725,0.574725,18.716771,18.716771,13.875310,13.875310,18.716771,18.716771,13.875310,13.875310,0.573075,0.576232,0.573075,0.576232,18.691728,18.739566,13.851235,13.897240,18.691728,18.739566,13.851235,13.897240,
1.000000,0.600000,0.600000,1.000000,0.600000,1.000000,1.000000,0.600000,0.500000,0.500000,0.875000,0.875000,0.574614,0.574614,0.574614,0.574614,18.715082,18.715082,13.873685,13.873685,18.715082,18.715082,13.873685,13.873685,0.571263,0.577858,0.571263,0.577858,18.664139,18.764094,13.824733,13.920857,18.664139,18.764094,13.824733,13.920857,
1.000000,0.500000,0.500000,1.000000,0.500000,1.000000,1.000000,0.500000,0.500000,0.500000,0.875000,0.875000,0.574697,0.574697,0.574697,0.574697,18.716339,18.716339,13.874894,13.874894,18.716339,18.716339,13.874894,13.874894,0.568739,0.580656,0.568739,0.580656,18.625556,18.806127,13.787711,13.961370,18.625556,18.806127,13.787711,13.961370,
1.000000,0.400000,0.400000,1.000000,0.400000,1.000000,1.000000,0.400000,0.500000,0.500000,0.875000,0.875000,0.574664,0.574664,0.574664,0.574664,18.715840,18.715840,13.874414,13.874414,18.715840,18.715840,13.874414,13.874414,0.564855,0.584707,0.564855,0.584707,18.565832,18.866610,13.730491,14.019761,18.565832,18.866610,13.730491,14.019761,
1.000000,0.300000,0.300000,1.000000,0.300000,1.000000,1.000000,0.300000,0.500000,0.500000,0.875000,0.875000,0.574619,0.574619,0.574619,0.574619,18.715163,18.715163,13.873763,13.873763,18.715163,18.715163,13.873763,13.873763,0.559254,0.590701,0.559254,0.590701,18.478946,18.955265,13.647443,14.105554,18.478946,18.955265,13.647443,14.105554,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,0.500000,0.875000,0.875000,0.574586,0.574586,0.574586,0.574586,18.714664,18.714664,13.873284,13.873284,18.714664,18.714664,13.873284,13.873284,0.551281,0.599409,0.551281,0.599409,18.353637,19.082360,13.528069,14.228969,18.353637,19.082360,13.528069,14.228969,
1.000000,0.100000,0.100000,1.000000,0.100000,1.000000,1.000000,0.100000,0.500000,0.500000,0.875000,0.875000,0.574522,0.574522,0.574522,0.574522,18.713693,18.713693,13.872350,13.872350,18.713693,18.713693,13.872350,13.872350,0.540246,0.611904,0.540246,0.611904,18.177062,19.261235,13.360658,14.403516,18.177062,19.261235,13.360658,14.403516,
1.000000,0.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.000000,0.500000,0.500000,0.875000,0.875000,0.574604,0.574604,0.574604,0.574604,18.714932,18.714932,13.873541,13.873541,18.714932,18.714932,13.873541,13.873541,0.526342,0.627875,0.526342,0.627875,17.949152,19.484100,13.145948,14.622394,17.949152,19.484100,13.145948,14.622394,
1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.500000,0.500000,1.000000,1.000000,0.593249,0.593249,0.593249,0.593249,18.992668,18.992668,13.032311,13.032311,18.992668,18.992668,13.032311,13.032311,0.593245,0.593245,0.593245,0.593245,18.992605,18.992606,13.032251,13.032252,18.992605,18.992606,13.032251,13.032252,
1.000000,0.900000,0.900000,1.000000,0.900000,1.000000,1.000000,0.900000,0.500000,0.500000,1.000000,1.000000,0.593328,0.593328,0.593328,0.593328,18.993822,18.993822,13.033397,13.033397,18.993822,18.993822,13.033397,13.033397,0.593228,0.593365,0.593228,0.593365,18.992355,18.994373,13.032015,13.033916,18.992355,18.994373,13.032015,13.033916,
