mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,c111 = 1.000000,c112 = 1.000000,c121 = 1.000000,c122 = 1.000000,c211 = 1.000000,c212 = 1.000000,c221 = 1.000000,c222 = 1.000000,data are below
rho,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,HOa11,HOa12,HOa21,HOa22,HOb111,HOb112,HOb211,HOb212,HOb121,HOb122,HOb221,HOb222,dR2da,
0.500000,0.500000,0.500000,1.000000,1.375000,0.606627,0.606627,0.606627,0.606627,19.186175,19.186175,13.215225,13.215225,19.186175,19.186175,10.714396,10.714396,0.607153,0.605944,0.607153,0.605944,19.193686,19.176420,13.222353,13.205971,19.193686,19.176420,10.720839,10.706033,3.269188,
0.500000,0.500000,0.500000,1.000000,1.500000,0.608768,0.608768,0.608768,0.608768,19.216709,19.216709,13.244215,13.244215,19.216709,19.216709,10.103941,10.103941,0.609665,0.607643,0.609665,0.607643,19.229471,19.200684,13.256342,13.228996,19.229471,19.200684,10.114529,10.090657,3.863692,
0.500000,0.500000,0.500000,1.125000,0.500000,0.545516,0.545516,0.545516,0.545516,18.261852,18.261852,11.429437,11.429437,18.261852,18.261852,18.261852,18.261852,0.552260,0.539925,0.552260,0.539925,18.369128,18.171863,11.524211,11.350286,18.369128,18.171863,18.369128,18.171863,-19.112595,
0.500000,0.500000,0.500000,1.125000,0.625000,0.567564,0.567564,0.567564,0.567564,18.607533,18.607533,11.736471,11.736471,18.607533,18.607533,16.657162,16.657162,0.570910,0.564582,0.570910,0.564582,18.658764,18.561624,11.782382,11.695420,18.658764,18.561624,16.708496,16.611189,-12.096703,
0.500000,0.500000,0.500000,1.125000,0.750000,0.583462,0.583462,0.583462,0.583462,18.848075,18.848075,11.952958,11.952958,18.848075,18.848075,15.314402,15.314402,0.584866,0.582063,0.584866,0.582063,18.868971,18.827185,11.971875,11.934064,18.868971,18.827185,15.335100,15.293721,-7.444906,
0.500000,0.500000,0.500000,1.125000,0.875000,0.595123,0.595123,0.595123,0.595123,19.020064,19.020064,12.109199,12.109199,19.020064,19.020064,14.168414,14.168414,0.595510,0.594651,0.595510,0.594651,19.025711,19.013166,12.114350,12.102909,19.025711,19.013166,14.173898,14.161716,-4.232816,
0.500000,0.500000,0.500000,1.125000,1.000000,0.603752,0.603752,0.603752,0.603752,19.144991,19.144991,12.223455,12.223455,19.144991,19.144991,13.176178,13.176178,0.603754,0.603746,0.603754,0.603746,19.145014,19.144902,12.223476,12.223374,19.145014,19.144902,13.176200,13.176094,-1.954832,
0.500000,0.500000,0.500000,1.125000,1.125000,0.610157,0.610157,0.610157,0.610157,19.236461,19.236461,12.307527,12.307527,19.236461,19.236461,12.307527,12.307527,0.610155,0.610155,0.610155,0.610155,19.236429,19.236430,12.307497,12.307497,19.236429,19.236430,12.307497,12.307497,-0.313164,
0.500000,0.500000,0.500000,1.125000,1.250000,0.614926,0.614926,0.614926,0.614926,19.303897,19.303897,12.369733,12.369733,19.303897,19.303897,11.540630,11.540630,0.614927,0.614922,0.614927,0.614922,19.303901,19.303828,12.369737,12.369669,19.303901,19.303828,11.540633,11.540568,0.873052,
0.500000,0.500000,0.500000,1.125000,1.375000,0.618413,0.618413,0.618413,0.618413,19.352834,19.352834,12.414996,12.414996,19.352834,19.352834,10.857993,10.857993,0.618520,0.618228,0.618520,0.618228,19.354327,19.350241,12.416377,12.412594,19.354327,19.350241,10.859285,10.855749,1.739513,
0.500000,0.500000,0.500000,1.125000,1.500000,0.620933,0.620933,0.620933,0.620933,19.388012,19.388012,12.447594,12.447594,19.388012,19.388012,10.246748,10.246748,0.621293,0.620436,0.621293,0.620436,19.393011,19.381080,12.452231,12.441166,19.393011,19.381080,10.250938,10.240941,2.365524,
0.500000,0.500000,0.500000,1.250000,0.500000,0.549718,0.549718,0.549718,0.549718,18.328848,18.328848,10.690629,10.690629,18.328848,18.328848,18.328848,18.328848,0.558729,0.542669,0.558729,0.542669,18.470748,18.216148,10.811745,10.595046,18.470748,18.216148,18.470748,18.216148,-20.066328,
0.500000,0.500000,0.500000,1.250000,0.625000,0.573288,0.573288,0.573288,0.573288,18.694971,18.694971,11.004894,11.004894,18.694971,18.694971,16.744797,16.744797,0.578197,0.569151,0.578197,0.569151,18.769203,18.631874,11.069322,10.950321,18.769203,18.631874,16.819273,16.681548,-13.168830,
0.500000,0.500000,0.500000,1.250000,0.750000,0.590425,0.590425,0.590425,0.590425,18.951218,18.951218,11.228323,11.228323,18.951218,18.951218,15.416666,15.416666,0.592850,0.588164,0.592850,0.588164,18.986828,18.917863,11.259602,11.199075,18.986828,18.917863,15.452029,15.383568,-8.582014,
0.500000,0.500000,0.500000,1.250000,0.875000,0.603074,0.603074,0.603074,0.603074,19.135244,19.135244,11.390582,11.390582,19.135244,19.135244,14.280469,14.280469,0.604076,0.602023,0.604076,0.602023,19.149643,19.120114,11.403342,11.377183,19.149643,19.120114,14.294507,14.265726,-5.395162,
0.500000,0.500000,0.500000,1.250000,1.000000,0.612521,0.612521,0.612521,0.612521,19.269954,19.269954,11.510327,11.510327,19.269954,19.269954,13.294851,13.294851,0.612765,0.612185,0.612765,0.612185,19.273407,19.265211,11.513407,11.506096,19.273407,19.265211,13.298138,13.290336,-3.124160,
0.500000,0.500000,0.500000,1.250000,1.125000,0.619626,0.619626,0.619626,0.619626,19.369774,19.369774,11.599592,11.599592,19.369774,19.369774,12.430686,12.430686,0.619626,0.619620,0.619626,0.619620,19.369782,19.369703,11.599599,11.599528,19.369782,19.369703,12.430694,12.430621,-1.482181,
0.500000,0.500000,0.500000,1.250000,1.250000,0.624929,0.624929,0.624929,0.624929,19.443457,19.443457,11.665778,11.665778,19.443457,19.443457,11.665778,11.665778,0.624926,0.624926,0.624926,0.624926,19.443424,19.443425,11.665749,11.665749,19.443424,19.443425,11.665749,11.665749,-0.275782,
0.500000,0.500000,0.500000,1.250000,1.375000,0.628871,0.628871,0.628871,0.628871,19.497792,19.497792,11.714745,11.714745,19.497792,19.497792,10.983988,10.983988,0.628871,0.628867,0.628871,0.628867,19.497786,19.497734,11.714740,11.714693,19.497786,19.497734,10.983983,10.983938,0.611230,
0.500000,0.500000,0.500000,1.250000,1.500000,0.631767,0.631767,0.631767,0.631767,19.537455,19.537455,11.750577,11.750577,19.537455,19.537455,10.372545,10.372545,0.631814,0.631669,0.631814,0.631669,19.538097,19.536115,11.751157,11.749365,19.538097,19.536115,10.373087,10.371411,1.260862,
0.500000,0.500000,0.500000,1.375000,0.500000,0.553085,0.553085,0.553085,0.553085,18.382153,18.382153,10.039997,10.039997,18.382153,18.382153,18.382153,18.382153,0.564489,0.544629,0.564489,0.544629,18.560190,18.247646,10.186765,9.930056,18.560190,18.247646,18.560190,18.247646,-20.703828,
0.500000,0.500000,0.500000,1.375000,0.625000,0.578099,0.578099,0.578099,0.578099,18.767729,18.767729,10.359676,10.359676,18.767729,18.767729,16.817794,16.817794,0.584705,0.572789,0.584705,0.572789,18.866586,18.687380,10.442736,10.292499,18.866586,18.687380,16.917083,16.737184,-13.927745,
0.500000,0.500000,0.500000,1.375000,0.750000,0.596404,0.596404,0.596404,0.596404,19.038726,19.038726,10.588461,10.588461,19.038726,19.038726,15.503619,15.503619,0.600005,0.593226,0.600005,0.593226,19.090984,18.992337,10.632976,10.549053,19.090984,18.992337,15.555631,15.457502,-9.406478,
0.500000,0.500000,0.500000,1.375000,0.875000,0.610010,0.610010,0.610010,0.610010,19.234381,19.234381,10.755794,10.755794,19.234381,19.234381,14.377248,14.377248,0.611790,0.608280,0.611790,0.608280,19.259611,19.209769,10.777505,10.734644,19.259611,19.209769,14.401927,14.353193,-6.253503,
0.500000,0.500000,0.500000,1.375000,1.000000,0.620270,0.620270,0.620270,0.620270,19.378763,19.378763,10.880455,10.880455,19.378763,19.378763,13.398660,13.398660,0.620981,0.619475,0.620981,0.619475,19.388671,19.367678,10.889047,10.870848,19.388671,19.367678,13.408134,13.388063,-4.000357,
0.500000,0.500000,0.500000,1.375000,1.125000,0.628010,0.628010,0.628010,0.628010,19.485949,19.485949,10.973656,10.973656,19.485949,19.485949,12.538630,12.538630,0.628152,0.627784,0.628152,0.627784,19.487909,19.482841,10.975366,10.970946,19.487909,19.482841,12.540456,12.535735,-2.354112,
0.500000,0.500000,0.500000,1.375000,1.250000,0.633848,0.633848,0.633848,0.633848,19.565838,19.565838,11.043488,11.043488,19.565838,19.565838,11.776263,11.776263,0.633848,0.633844,0.633848,0.633844,19.565835,19.565779,11.043486,11.043436,19.565835,19.565779,11.776261,11.776209,-1.137855,
