mu1 = 0.500000, mu2 = 0.500000,gamma1 = 0.000000, gamma2 =0.000000,multiplier m = 35.000000,rhoA = rhoB = 0.5,sigma =0.100000,data are below
cA11,cA12,cA21,cA22,cB11,cB12,cB21,cB22,theta11*,theta12*,theta21*,theta22*,FCa11,FCa12,FCa21,FCa22,FCb111,FCb112,FCb211,FCb212,FCb121,FCb122,FCb221,FCb222,FPa11,FPa12,FPa21,FPa22,FPb111,FPb112,FPb211,FPb212,FPb121,FPb122,FPb221,FPb222,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.075000,1.075000,0.500000,0.588918,0.588918,0.588918,0.588918,18.929007,18.929007,12.387713,12.387713,12.387713,12.387713,18.929007,18.929007,0.554738,0.635175,0.635175,0.554738,18.408207,19.583870,11.913472,12.999323,12.999323,11.913472,19.583870,18.408207,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.087500,1.087500,0.500000,0.590024,0.590024,0.590024,0.590024,18.945308,18.945308,12.310310,12.310310,12.310310,12.310310,18.945308,18.945308,0.555389,0.637195,0.637195,0.555389,18.418431,19.611256,11.831966,12.930878,12.930878,11.831966,19.611256,18.418431,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.100000,1.100000,0.500000,0.591108,0.591108,0.591108,0.591108,18.961256,18.961256,12.233859,12.233859,12.233859,12.233859,18.961256,18.961256,0.556026,0.639189,0.639189,0.556026,18.428434,19.638190,11.751569,12.863241,12.863241,11.751569,19.638190,18.428434,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.112500,1.112500,0.500000,0.592162,0.592162,0.592162,0.592162,18.976733,18.976733,12.158226,12.158226,12.158226,12.158226,18.976733,18.976733,0.556650,0.641157,0.641157,0.556650,18.438223,19.664680,11.672257,12.796393,12.796393,11.672257,19.664680,18.438223,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.125000,1.125000,0.500000,0.593197,0.593197,0.593197,0.593197,18.991913,18.991913,12.083542,12.083542,12.083542,12.083542,18.991913,18.991913,0.557261,0.643100,0.643100,0.557261,18.447803,19.690747,11.594007,12.730326,12.730326,11.594007,19.690747,18.447803,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.137500,1.137500,0.500000,0.594356,0.594356,0.594356,0.594356,19.008863,19.008863,12.011659,12.011659,12.011659,12.011659,19.008863,19.008863,0.557861,0.645011,0.645011,0.557861,18.457188,19.716309,11.516805,12.664939,12.664939,11.516805,19.716309,18.457188,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.150000,1.150000,0.500000,0.595349,0.595349,0.595349,0.595349,19.023360,19.023360,11.938713,11.938713,11.938713,11.938713,19.023360,19.023360,0.558450,0.646908,0.646908,0.558450,18.466383,19.741580,11.440627,12.600408,12.600408,11.440627,19.741580,18.466383,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.162500,1.162500,0.500000,0.596322,0.596322,0.596322,0.596322,19.037532,19.037532,11.866615,11.866615,11.866615,11.866615,19.037532,19.037532,0.559050,0.648937,0.648937,0.559050,18.475753,19.768525,11.365772,12.538547,12.538547,11.365772,19.768525,18.475753,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.175000,1.175000,0.500000,0.597265,0.597265,0.597265,0.597265,19.051249,19.051249,11.795226,11.795226,11.795226,11.795226,19.051249,19.051249,0.559611,0.650771,0.650771,0.559611,18.484509,19.792810,11.291518,12.475274,12.475274,11.291518,19.792810,18.484509,
1.000000,0.200000,0.200000,1.000000,0.200000,1.000000,1.000000,0.200000,0.500000,1.187500,1.187500,0.500000,0.598197,0.598197,0.598197,0.598197,19.064795,19.064795,11.724780,11.724780,11.724780,11.724780,19.064795,19.064795,0.560161,0.652583,0.652583,0.560161,18.493081,19.816706,11.218221,12.412699,12.412699,11.218221,19.816706,18.493081,
